accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2020-02-29,01:43:43,S1,ปกติ,0,0,0,0,ขับปาดกันไปมา                 
2020-03-23,19:05:05,ศรีรัช,ปกติ,1,0,0,0,เบครกระทันหัน                 
2020-08-23,04:03:03,ศรีรัช,ปกติ,2,2,0,0,ขับรถย้อนทาง                  
2020-09-07,01:48:48,ศรีรัช,ฝนตก,0,0,0,0,เข้าผิดช่ิอง                  
2020-06-23,16:08:08,ศรีรัช,ปกติ,0,0,0,0,แก๊สกระป๋องเล็กรั่ว           
2019-10-28,20:16:16,ศรีรัช,ปกติ,0,0,0,0,ก้มหยิบเงิน                   
2020-07-09,21:14:14,ศรีรัช,ปกติ,0,0,0,0,เข้าผิดช่องทาง                
2019-11-25,22:20:20,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขวามากเกินไป            
2020-08-12,03:45:45,ศรีรัช,ปกติ,0,0,0,0,เข้าช่องเก็บค่าผ่านทางผิด     
2020-02-12,16:20:20,ศรีรัช,ปกติ,0,0,0,0,ก้มหยิบของ                    
2019-10-18,23:09:09,ศรีรัช,ปกติ,1,0,0,0,-                             
2019-12-21,05:26:26,ฉลองรัช,ปกติ,0,0,0,0,เหยียบสิ้งของตกหล่นแผ่นเหล็ก  
2020-05-19,10:18:18,ฉลองรัช,ปกติ,0,0,0,0,มีกรงสุนัขตกหล่น              
2020-04-08,21:56:56,ฉลองรัช,ปกติ,1,0,0,0,ก้มเก็บเงิน                   
2020-04-09,14:00:00,ฉลองรัช,ปกติ,0,1,0,0,เสียหลัก                      
2020-02-02,10:53:53,ฉลองรัช,ปกติ,0,0,0,0,เบรคติด                       
2020-07-13,20:25:25,ฉลองรัช,ปกติ,1,0,0,0,รอการตรวจสอบ                  
2019-12-21,01:02:02,ฉลองรัช,ปกติ,0,0,0,0,ขับเร็วเฉี่ยวชนท้าย           
2020-08-11,16:21:21,บูรพาวิถี,ปกติ,0,0,0,0,ระบบไฮโดรลิคขัดข้อง           
2020-03-25,09:21:21,บูรพาวิถี,ปกติ,0,0,0,0,ไฟฟ้ารัดวงจรในห้องเครื่อง     
2020-09-16,14:34:34,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถด้วยความประมาท           
2020-08-19,05:46:46,บูรพาวิถี,ปกติ,0,0,0,0,เปิดประตูมารับบัตรแล้วกระแทกตู
2020-03-01,19:17:17,บูรพาวิถี,ปกติ,0,0,0,0,ยากแตก                        
2020-09-10,17:12:12,บูรพาวิถี,ปกติ,0,0,0,0,เครนฟาดเสาไฟเสียหาย           
2020-03-23,09:00:00,บูรพาวิถี,ปกติ,1,0,0,0,บรรทุกหนัก                    
2020-03-13,15:55:55,บูรพาวิถี,ปกติ,0,0,0,0,ไฟฟ้าลัดวงจรบริเวณห้องเครื่อง 
2019-11-14,07:57:57,บูรพาวิถี,ปกติ,1,0,0,0,ตร.เรียกรถจอดออกหนังสือคำสั่ง 
2020-08-17,10:56:56,บูรพาวิถี,ปกติ,0,0,0,0,ไม่ทันมอง                     
2020-04-22,13:49:49,บูรพาวิถี,ปกติ,1,0,0,0,บรรทุกหนัก                    
2020-03-25,16:11:11,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถชนป้าย ช่องทางEasypass   
2019-10-28,10:08:08,อุดรรัถยา,ปกติ,0,0,0,0,ก้มเก็บของ                    
2020-06-25,01:20:20,อุดรรัถยา,ปกติ,0,0,0,0,ประมาท ก้มหยิบของ             
2020-03-27,12:33:33,อุดรรัถยา,ปกติ,1,0,0,0,รอตรวจสอบ                     
2019-12-17,12:38:38,เฉลิมมหานคร,ปกติ,0,0,0,0,กะระยะเข้าช่องทางไม่ถูก       
2020-07-05,22:20:20,เฉลิมมหานคร,ปกติ,0,1,0,0,ขับรถในระยะกระชั้นชิด         
2020-02-02,08:35:35,เฉลิมมหานคร,ปกติ,2,0,0,0,โดนชนท้าย                     
2020-02-20,11:54:54,เฉลิมมหานคร,ปกติ,0,0,0,0,ถอยหลังรถไปชน                 
2019-11-16,02:17:17,เฉลิมมหานคร,ปกติ,0,0,0,0,ใช้ความเร็วเข้าโค้ง           
2020-09-17,03:55:55,เฉลิมมหานคร,ปกติ,0,0,0,0,เมาจอดนอนกีดขวาง              
2019-10-26,02:00:00,เฉลิมมหานคร,ปกติ,1,0,0,0,ถอยหลังลงจากต่างระดับ         
2020-03-08,20:55:55,เฉลิมมหานคร,ปกติ,2,1,0,0,ขับรถในระยะกระชันชิด          
2019-10-23,14:20:20,เฉลิมมหานคร,ปกติ,0,0,0,0,ยางล้อหลังขวาระเบิด           
2019-10-29,05:10:10,เฉลิมมหานคร,ปกติ,1,1,0,0,หลงทาง                        
2020-01-16,00:02:02,เฉลิมมหานคร,ปกติ,1,0,0,0,ขับขี่ย้อนเส้นทาง             
2019-10-16,19:23:23,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถในระยะกระชั้นชิด         
2020-09-16,15:27:27,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถในระยะกระชั้นชิด         
2020-04-15,07:42:42,เฉลิมมหานคร,ปกติ,1,0,0,0,ขับรถช้าลง                    
2019-10-04,05:45:45,เฉลิมมหานคร,ปกติ,0,0,0,0,พวงมาลัยล๊อค                  
2020-07-03,20:27:27,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เฉี่ยวชนก้างปลา               
2020-03-23,18:38:38,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,คันที่3หยุดรถไม่ทัน           
2020-05-09,21:53:53,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ไม่ได้ล็อคตู้                 
2019-11-21,13:15:15,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ประมาท                        
2020-04-09,06:24:24,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เปิดประตูรถ                   
2020-07-14,20:22:22,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,รถบรรทุกตัดหน้า               
2020-04-06,14:19:19,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,มีกลุ่มควันขึ้นมากหลังรถ      
2020-05-15,08:26:26,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,รถไหล                         
2019-10-08,09:42:42,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หยุดรถไม่ทัน                  
2020-05-14,11:16:16,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ก้มดูโทรศัพย์                 
2020-06-26,16:50:50,บางพลี-สุขสวัสดิ์,ปกติ,1,1,0,0,ประมาท                        
2020-06-26,11:52:52,บางพลี-สุขสวัสดิ์,ปกติ,2,0,0,0,ประมาท                        
2020-03-23,13:48:48,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หยุดรถไม่ทัน                  
2019-10-25,13:53:53,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ขับเร็วเสียหลัก               
2019-12-24,22:08:08,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ก้มเก็บของ                    
2020-03-01,11:52:52,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ก้มเก็บเงิน                   
2020-02-02,14:45:45,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ปีกนกซ้ายชำรุด                
2020-02-25,13:20:20,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,หยุดรถไม่ทัน                  
