accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2022-07-31,02:02:02,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2022-07-31,13:19:19,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-07-31,20:32:32,ศรีรัช,ฝนตก,0,0,0,0,นั่งบุคคลMazdaเบรกกะทันหัน
2022-07-31,17:38:38,ฉลองรัช,ฝนตก,0,0,0,0,สภาพแวดล้อม
2022-07-31,10:34:34,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-07-30,23:31:31,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-30,16:05:05,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-30,22:40:40,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2022-07-29,09:03:03,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-28,01:42:42,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-27,13:33:33,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-07-27,17:11:11,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-26,21:39:39,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-26,15:45:45,อุดรรัถยา,ฝนตก,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-25,18:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-25,12:46:46,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-24,20:34:34,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-24,22:18:18,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-24,19:34:34,ฉลองรัช,ฝนตก,1,4,0,0,ขับรถเร็วเกินไป
2022-07-24,23:15:15,บูรพาวิถี,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2022-07-23,06:07:07,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2022-07-23,01:08:08,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2022-07-23,05:30:30,เฉลิมมหานคร,ปกติ,0,0,1,0,ขับรถเร็วเกินไป
